"espece"	"nom"	"nomscientific"	"indicateur"	"specialisation"
"ACCGEN"	"Autour des palombes"	"Accipiter gentilis"	FALSE	""
"ACCNIS"	"Epervier d'Europe"	"Accipiter nisus"	FALSE	""
"ACRARU"	"Rousserolle turdoïde"	"Acrocephalus arundinaceus"	FALSE	""
"ACRMEL"	"Lusciniole à moustaches"	"Acrocephalus melanopogon"	FALSE	""
"ACRPAL"	"Phragmite aquatique"	"Acrocephalus paludicola"	FALSE	""
"ACRRIS"	"Rousserolle verderolle"	"Acrocephalus palustris"	FALSE	""
"ACRSCH"	"Phragmite des joncs"	"Acrocephalus schoenobaenus"	FALSE	""
"ACRSCI"	"Rousserolle effarvatte"	"Acrocephalus scirpaceus"	FALSE	""
"ACTHYP"	"Chevalier guignette"	"Actitis hypoleucos"	FALSE	""
"AEGCAU"	"Mésange à longue queue"	"Aegithalos caudatus"	FALSE	""
"AEGFUN"	"Chouette de Tengmalm"	"Aegolius funereus"	FALSE	""
"AIXGAL"	"Canard mandarin"	"Aix galericulata"	FALSE	""
"AIXSPO"	"Canard carolin"	"Aix sponsa"	FALSE	""
"ALAARV"	"Alouette des champs"	"Alauda arvensis"	TRUE	"milieux agricoles"
"ALCATT"	"Martin-pêcheur d'Europe"	"Alcedo atthis"	FALSE	""
"ALCTOR"	"Pingouin torda"	"Alca torda"	FALSE	""
"ALEGRA"	"Perdrix bartavelle"	"Alectoris graeca"	FALSE	""
"ALERUF"	"Perdrix rouge"	"Alectoris rufa"	TRUE	"milieux agricoles"
"ALLALL"	"Mergule nain"	"Alle alle"	FALSE	""
"ALOAEG"	"Ouette d'Egypte"	"Alopochen aegyptiaca"	FALSE	""
"ANAACU"	"Canard pilet"	"Anas acuta"	FALSE	""
"ANACLY"	"Canard souchet"	"Anas clypeata"	FALSE	""
"ANACRE"	"Sarcelle d'hiver"	"Anas crecca"	FALSE	""
"ANAPEN"	"Canard siffleur"	"Anas penelope"	FALSE	""
"ANAPLA"	"Canard colvert"	"Anas platyrhynchos"	FALSE	""
"ANAQUE"	"Sarcelle d'été"	"Anas querquedula"	FALSE	""
"ANASTR"	"Canard chipeau"	"Anas strepera"	FALSE	""
"ANSANS"	"Oie cendrée"	"Anser anser"	FALSE	""
"ANSIND"	"Oie à tête barrée"	"Anser indicus"	FALSE	""
"ANTCAM"	"Pipit rousseline"	"Anthus campestris"	TRUE	"milieux agricoles"
"ANTCER"	"Pipit à gorge rousse"	"Anthus cervinus"	FALSE	""
"ANTPET"	"Pipit maritime"	"Anthus petrosus"	FALSE	""
"ANTPRA"	"Pipit farlouse"	"Anthus pratensis"	TRUE	"milieux agricoles"
"ANTRIC"	"Pipit de Richard"	"Anthus richardi"	FALSE	""
"ANTSPI"	"Pipit spioncelle"	"Anthus spinoletta"	FALSE	""
"ANTTRI"	"Pipit des arbres"	"Anthus trivialis"	FALSE	""
"APUAPU"	"Martinet noir"	"Apus apus"	TRUE	"milieux bâtis"
"APUMEL"	"Martinet à ventre blanc"	"Apus melba"	FALSE	""
"APUPAL"	"Martinet pâle"	"Apus pallidus"	FALSE	""
"AQUCHR"	"Aigle royal"	"Aquila chrysaetos"	FALSE	""
"ARDCIN"	"Héron cendré"	"Ardea cinerea"	FALSE	""
"ARDPUR"	"Héron pourpré"	"Ardea purpurea"	FALSE	""
"ARDRAL"	"Crabier chevelu"	"Ardeola ralloides"	FALSE	""
"AREINT"	"Tournepierre à collier"	"Arenaria interpres"	FALSE	""
