Espece;Int;Pente;Seuil50;Seuil90;FN50;FN90;FP50;FP90;Int;Pente;Seuil50;Seuil90;FN50;FN90;FP50;FP90;Perftot;PerfP2;ratio;;PerfPFtot;Espece;FN50;FN90;FP50;FP90;Int;Pente;Seuil50;Seuil90
chirp;-9.796506402;46.92990813;0.209;0.256;0.08;0.12;0.041666667;0;-9.56313307;44.09513566;0.217;0.267;0.08;0.08;0;0;0.060416667;0.04;0.662068966;0.662068966;0.060416667;chirp;0.08;0.12;0.041666667;0;-9.621801388;46.06782011;0.209;0.257
Rhifer;-5.993856471;15.08754459;0.398;0.543;0.298076923;0.298076923;0.058064516;0.058064516;-5.889843127;16.57369156;0.356;0.488;0.281553398;0.296116505;0.051282051;0.052287582;0.17807072;0.170309884;0.956417115;0.99245238;0.171605094;Rhifer;0.291262136;0.291262136;0.051948052;0.051948052;-5.851562087;15.04050575;0.39;0.536
Rhihip;-5.969614204;11.40700358;0.524;0.716;0.225;0.35;0.099585062;0.056994819;-5.819466659;11.41414973;0.51;0.703;0.221428571;0.321428571;0.084033613;0.054726368;0.18289497;0.170404281;0.931705672;0.933067009;0.182628128;Rhihip;0.225;0.353571429;0.099585062;0.052356021;-5.790678559;11.13511299;0.521;0.718
Barbar;-5.673386605;11.75110344;0.483;0.67;0.291366906;0.356115108;0.08372093;0.057894737;-5.564489618;11.74868047;0.474;0.661;0.321285141;0.389558233;0.10106383;0.067484663;0.19727442;0.219847966;1.114427132;1.033526108;0.212716413;Barbar;0.309236948;0.385542169;0.094736842;0.061349693;-5.561291853;11.24861482;0.495;0.69
Rusnit;-5.761885307;27.00734744;0.214;0.295;0.369491525;0.379661017;0.046153846;0.021390374;-5.999840427;37.36156155;0.161;0.22;0.397959184;0.413265306;0.070866142;0.025423729;0.204174191;0.22687859;1.111201123;1.001041207;0.226642608;Rusnit;0.408163265;0.408163265;0.056910569;0.033333333;-5.880405916;32.26404124;0.183;0.251
Myonat;-5.634559403;11.86614368;0.475;0.661;0.338645418;0.474103586;0.117021277;0.050359712;-5.528792174;11.69073573;0.473;0.661;0.331950207;0.443983402;0.095505618;0.042857143;0.245032498;0.228574093;0.932831744;0.962409212;0.237501979;Myonat;0.32780083;0.452282158;0.119565217;0.050359712;-5.527766673;11.52009507;0.48;0.671
Nyclei;-4.935905731;10.51420089;0.47;0.679;0.382882883;0.45045045;0.121794872;0.057915058;-4.867531773;10.39089138;0.469;0.68;0.36097561;0.443902439;0.105802048;0.053941909;0.253260816;0.241155501;0.952202182;1.011251568;0.238472314;Nyclei;0.36097561;0.429268293;0.114864865;0.048780488;-4.875184583;10.49761466;0.465;0.674
Nycnoc;-5.915598202;13.74409497;0.431;0.591;0.398963731;0.492227979;0.165467626;0.066666667;-6.139379694;17.74192449;0.347;0.47;0.37012987;0.396103896;0.118181818;0.051020408;0.280831501;0.233858998;0.832737772;0.959975533;0.243609332;Nycnoc;0.344155844;0.435064935;0.151260504;0.043956044;-6.179570269;14.61424023;0.423;0.574
Lamsp.;-7.244082473;21.93899668;0.331;0.431;0.351851852;0.518518519;0.125;0.103448276;-6.954350212;18.69608095;0.372;0.49;0.377358491;0.528301887;0.153846154;0.137931034;0.274704662;0.299359391;1.089749951;1.159077941;0.258273737;Lamsp.;0.339622642;0.471698113;0.125;0.096774194;-7.11431275;21.74802941;0.328;0.429
Leppun;-4.219470191;9.460363122;0.447;0.679;0.35551142;0.550148957;0.120596206;0.111764706;-4.315732499;9.578325998;0.451;0.68;0.295641932;0.551236749;0.123167155;0.120092379;0.284505322;0.272534554;0.957924272;1.017906068;0.267740376;Leppun;0.293286219;0.542991755;0.126637555;0.108045977;-4.368656949;9.338141008;0.468;0.704
