Esp;Nesp;France;Turquie;Espagne;Norfolk;Scientific name;Group;NomFR;GroupFR
Aegcau;piaf;x;x;x;x;Aegithalos caudatus;bird;Mésange à longue queue;Autre
Alcatt;piaf;x;x;x;x;Alcedo atthis;bird;Martin-pêcheur d'Europe;Autre
amph;amph;x;x;x;x;Amphibia sp.;frog;Amphibien sp.;Autre
Antius;Antius;x;;x;;Antaxius spinibrachius;bush-cricket;Antaxie voyageuse;Sauterelle
Antped;Antped;x;;;;Antaxius pedestris;bush-cricket;Antaxie marbree;Sauterelle
Antpet;piaf;x;x;;;Anthus petrosus;bird;Pipit maritime;Autre
Antsor;Antsor;x;;;;Antaxius sorrezensis;bush-cricket;Antaxie cevenole;Sauterelle
Apoagr;Aposp;x;;;;Apodemus agrarius;other mammal;Mulot rayé;Autre
Apofla;Aposp;x;x;x;;Apodemus flavicollis;other mammal;Mulot à collier;Autre
Aposp;Aposp;x;x;x;x;Apodemus sp.;other mammal;Mulot sp.;Autre
Aposyl;Aposp;x;x;x;x;Apodemus sylvaticus;other mammal;Mulot sylvestre;Autre
Apuapu;piaf;x;x;x;x;Apus apus;bird;Martinet noir;Autre
Barbar;Barbar;x;x;x;x;Barbastella barbastellus;bat;Barbastelle d'Europe;Chauve-souris
Barfis;Barfis;x;;;;Barbitistes fischeri;bush-cricket;Barbitiste languedocien;Sauterelle
Barsan;Barsan;x;;x;;Barbitistes 'sanzii';bush-cricket;Barbitiste cryptique;Sauterelle
Barser;Barser;x;;x;;Barbitistes serricauda;bush-cricket;Barbitiste des bois;Sauterelle
Bicbic;Bicbic;x;;x;;Bicolorana bicolor;bush-cricket;Decticelle bicolore;Sauterelle
buzz;noise;x;x;x;x;insect wingbeats;noise;bourdonnement;Autre
car;noise;x;x;x;x;vehicle;noise;véhicule;Autre
Carcar;piaf;x;x;x;x;Carduelis carduelis;bird;Chardonneret élégant;Autre
Cerbra;piaf;x;x;x;x;Certhia brachydactyla;bird;Grimpereau des jardins;Autre
Cetcet;piaf;x;x;x;x;Cettia cettia;bird;Bouscarle de Cetti;Autre
chirp;chirp;x;;;;chirp;noise;chirp;Autre
Chlchl;piaf;x;x;x;x;Chloris chloris;bird;Verdier d'Europe;Autre
Chovag;criq;x;x;x;x;Chorthippus vagans;grasshopper;Criquet des pins;Autre
Cicatr;Cicatr;x;x;x;;Cicadatra atra;cicada;Cigale noire;Autre
Cicorn;Cicorn;x;x;x;;Cicada orni;cicada;Cigale grise;Autre
Cisjun;piaf;x;x;x;x;Cisticola juncidis;bird;Cisticole des joncs;Autre
Concon;Concon;x;x;x;;Conocephalus conocephalus;bush-cricket;Conocéphale africain;Sauterelle
Condor;Condor;x;x;x;x;Conocephalus dorsalis;bush-cricket;Conocephale des marais;Sauterelle
Confus;Confus;x;;x;x;Conocephalus fuscus;bush-cricket;Conocephale bigarre;Sauterelle
Corcho;Epheph;x;;;;Corsteropleurus chopardi;bush-cricket;Ephippigère corse;Sauterelle
Cornix;piaf;x;x;x;x;Corvus cornix;bird;Corneille mantelée;Autre
criq;criq;x;x;x;x;Caelifera sp.;grasshopper;Criquet sp.;Autre
Crorus;Mussp;x;x;x;x;Crocidura russula;other mammal;Crocidure musette;Autre
