"","Espece","Q25","Q75","Q98","nbocc","DM25","DM10","DM02"
"25%","Antius","1","2","20.4","37","1507.76416134834","-264.611728382111","-1373.67915743828"
"25%","Antped","4.5","11.5","14.72","2","4808.81578743458","4051.92529139519","3648.25036017418"
"25%","Antsor","1","1","1","1","15191.5848600864","15191.5848600864","15191.5848600864"
"25%","Barbar","2","17","303.98","2102","3664.81756293774","2332.18326377869","1113.65489628792"
"25%","Barfis","1","1","1","3","6365.93376266956","4838.54704384803","4023.94079380989"
"25%","Bicbic","1.5","2.5","2.96","2","10996.9584002495","10901.6431913852","10850.8084133243"
"25%","chirp","34.75","50.25","57.38","2","-1080.94990348816","-1080.94990348816","-1080.94990348816"
"25%","Cicorn","1","2.75","3.82","10","-144.126234710217","-601.744369745255","-735.611527109146"
"25%","Condor","1","1","1","2","5638.88746488095","5109.16003108025","4826.63873305321"
"25%","Confus","1","9.5","143.36","135","803.39968407154","-464.592767357826","-1264.27222914219"
"25%","criq","1","1","1","2","749.71511721611","717.207648897171","699.870332460404"
"25%","Cympud","1","10","205.84","1159","2049.57697588206","-108.215761780739","-1468.71151192665"
"25%","Cyrscu","1","2","16.54","40","1990.10920786858","-64.0679782867432","-629.767778863907"
"25%","Decalb","1","3","9.1","20","451.158402323722","-169.394851446152","-1211.11368044853"
"25%","Epheph","1","13","120.24","179","3024.1285866499","516.397881603242","-1570.94668524743"
"25%","Eptser","2","10","110","2690","2509.24711275101","1584.50247135162","754.495276994705"
"25%","Eumbor","2.25","4.75","5.9","2","377.283349037171","234.136240005494","157.791115188599"
"25%","Eupcha","5.25","9.75","11.82","2","8215.7333689332","8009.95518920422","7900.20682668209"
"25%","Hypsav","1","9","103.1","1116","2248.41059011221","1301.39321923256","348.390803813934"
"25%","Inssp1","1","1","1","1","12292.344350338","12292.344350338","12292.344350338"
"25%","Inssp5","1","1","1.86","8","-728.431448936463","-782.042838144303","-823.320345506668"
"25%","Inssp6","1","5","40.1199999999999","500","2424.97865229845","914.47767071724","-1035.51150548935"
"25%","Isopyr","8","22","28.44","2","532.886808037758","368.638544750213","281.039470996856"
"25%","Lamsp.","1","3.75","47.98","702","2166.80326139927","844.690763473511","-947.457581233978"
"25%","Lepbos","2","2","2","1","19698.1210539341","19698.1210539341","19698.1210539341"
"25%","Leppun","41.25","1103","4140.86","990","1104.83912658691","-249.540919065476","-1406.85371873856"
"25%","mamm","1","1","2.7","16","6183.96875983477","10.0895879268645","-278.111182951928"
"25%","Micagr","1","1.5","13","47","2238.36066246033","530.938663005829","-16.9136964130399"
"25%","Minsch","1","6","130.5","826","4206.91477686167","3004.16962945461","1585.87503230571"
"25%","Mussp","1","1","1","1","1104.1836810112","1104.1836810112","1104.1836810112"
"25%","Myoalc","1","2.25","14.5999999999999","92","4125.00926113128","2734.64635419845","1854.23125097752"
"25%","Myobec","2","2","2.92","5","4397.38848257065","3523.56983032227","3057.5332157898"
"25%","Myobra","5","5","5","1","3503.78706097603","3503.78706097603","3503.78706097603"
"25%","Myocap","1","6","94.6199999999999","104","2953.33067560195","2095.68971920014","1288.69886338711"
"25%","Myodas","3.5","4.5","4.96","2","3451.95404314995","2941.47309875488","2669.21659507751"
"25%","Myodau","1","6","350.199999999996","2395","3523.05388474465","2357.6486802578","1277.44239184379"
"25%","Myoema","1","3","38.5999999999997","1035","4239.00043714046","2483.71984658241","1362.43170207977"
"25%","MyoGT","1","3","17.22","1040","4136.37232673169","2922.0745616436","1497.44925053597"
"25%","Myomys","1","4","37.14","444","4504.9568271041","2929.1723464489","1807.60458549976"
"25%","Myonat","1","6.75","52.2399999999998","2070","4100.53462767601","2735.82784142494","1745.14204066753"
"25%","noise","609","3111.25","7235.92","5060","-1766.10768318176","-1789.97119259834","-1797.40886205673"
"25%","Nyclas","1","5.5","38.68","7","1502.60388588905","1177.01388425827","887.68234380722"
"25%","Nyclei","2","14","174.68","2780","2101.66658043861","969.221526432037","-496.86254527092"
"25%","Nycnoc","1","6","123","950","1175.58238327503","418.189396619797","-994.488390636444"
"25%","Phafal","1","5","31.12","145","2818.22321665287","1387.89198203087","-1076.0002751255"
"25%","Phanan","5","196.75","1286.22","1390","-461.121517419815","-1228.30023024082","-1652.31356955051"
"25%","Phofem","1","2.5","49.7200000000001","39","2068.41903162003","-273.422169017792","-1017.87503848076"
"25%","Phogri","2","36","300","133","3167.28623771667","1046.13571507931","-124.318460326194"
"25%","piaf","10","121","771.199999999999","4681","-1486.967471838","-1711.17241072654","-1787.89137840271"
"25%","Pipkuh","7","89","1436","4189","1559.32718348503","1060.77260088921","357.113767185211"
"25%","Pipnat","1","5","45","1635","3598.21611785888","2652.12113056183","1204.36025017738"
"25%","Pippip","22","314.5","2862.8","4663","944.2108066082","285.986425304413","-682.368085184098"
"25%","Pippyg","2","56","1870.14","1850","1208.85102796555","491.482502508163","-473.14840514183"
"25%","Plaaff","2","39","518.399999999999","961","1186.96142053604","-579.112753868103","-1549.82554960251"
"25%","Plaalb","2","61.5","935.440000000002","1055","1016.66383886337","-568.569532346726","-1470.19973935128"
"25%","Plafal","1.25","1.75","1.98","2","4582.26300436258","2749.75668113232","1772.41997540951"
"25%","Plaint","2","119","2593.2","2231","242.273566842079","-900.83824698925","-1540.14236267566"
"25%","Plasab","1","10","339.76","455","1074.20996451378","-387.740073204041","-1394.40862154961"
"25%","Pleaur","1","1","4.76","63","4323.55943703652","2738.44387030601","1156.0819111824"
"25%","Pleaus","1","4","29","2122","3952.17004132271","2637.71873641015","1691.51609820366"
"25%","Plemac","3","3","3","1","1603.93373608589","1603.93373608589","1603.93373608589"
"25%","Pteger","1","8","104.16","624","1705.30042260885","258.537321424484","-1053.9468501854"
"25%","Ptepon","1","14","185.38","222","1737.58781033754","289.659371685982","-1012.17030680656"
"25%","Ratnor","1","1.25","1.94","4","6653.59038341046","6487.00690498352","6398.16238315582"
"25%","Rhieur","1","2.25","2.94","4","7479.47543311119","5479.32757034302","4412.58204353332"
"25%","Rhifer","1","7","112.68","967","2878.50191009045","1543.43428068161","-210.073269786834"
