Espece,Q25RE,Q75RE,Q98RE,nboccRE,Q25cRE,Q75cRE,Q98cRE,nbocccRE,Q25RD,Q75RD,Q98RD,nboccRD,Q25cRD,Q75cRD,Q98cRD,nbocccRD,Q25PE,Q75PE,Q98PE,nboccPE,Q25cPE,Q75cPE,Q98cPE,nbocccPE,Q25PD,Q75PD,Q98PD,nboccPD,Q25cPD,Q75cPD,Q98cPD,nbocccPD
Barbar,1,1,2.3,36,1,1,3,33,1,2,5,283,1,3,7.29999999999998,186,1,2.25,8.5,16,1,2,9.48,14,1,2,7.48,77,1,3.25,8,60
Confus,1,1,2.07999999999998,147,1,2,5.02,100,1,2,4.88,457,1,4,12.16,222,1,3,6.2,46,1,3.5,8.32,35,1,5,24.2,89,1,7,42.8,56
Epheph,1,2,6.52,75,1,1.75,25,50,1,2,7.42000000000002,430,1,4,20,200,1,1,4,52,1,2,6,42,1,3,16.1,196,1,5,23.36,117
Eptser,1,2,7,898,1,4,17,472,1,4,16,1732,3,15,53.6,521,1,3.5,13.32,135,1,5.5,29.76,79,1,5,25.6,261,2,10,59.28,127
Leppun,1,1,4,410,1,3,19.18,192,1,3,10,1183,2,10,44,305,1,3,11.08,99,1,7.25,28.6,48,2,8,32.9,406,3,24,114.36,128
Minsch,1,1,3,301,1,2,5,222,1,2,6,28,1,4.25,13.78,12,1,2,9,115,1,4,11,78,1,4,6.68,9,1,5.5,11.4,6
Myodau,1,1,3.18,42,1,2,4.28,37,1,1,3,224,1,2,5,166,1,4.75,21,86,1,5,36.6,61,1,6.25,33.94,204,2,12,57,111
MyoGT,1,1,4,473,1,2,7,329,1,1,3,322,1,2,6.53999999999999,224,1,2,7.51999999999998,82,1,3,11.44,65,1,2,4.59999999999999,71,1,2,6.75999999999999,57
noise,47,66,96,12233,457,650,882.08,1250,56,70,98,11263,563,690,921,1151,23,72,79,4490,259.75,661.5,770.24,474,64,73,85,3994,580,728,813.86,420
Nyclei,1,1,4,29,1,2,4.6,21,1,2,7,571,1,4,14.78,312,1,2.25,27.1,16,1,2.5,33.3,12,1,3,14.72,115,1,4,27.68,75
Nycnoc,1,2,3.92,55,1,3,12,33,1,2,6,272,1,4,13.68,159,1,1.25,13.78,12,1,2,14.84,9,1,3,16.6,71,1,3.5,36,51
Phanan,1,1,3,34,1,3,7.28,19,1,2,9.20000000000005,541,1,5,36.56,212,1,4,22.84,17,1,3,30.6,13,1,7,35,322,1,18.5,97.92,128
Phogri,1,1,3,526,1,2,8.07999999999998,297,1,1,3.35999999999999,233,1,2,5.68000000000001,167,1,2,11,287,1,5,26.22,140,1,5,26,240,1,13.75,58.9,106
Pipkuh,1,3,7,3067,2,10,26,876,1,5,17.7799999999997,2762,4,31,82.8399999999999,555,1,5,27.22,890,3,17,59.5999999999997,318,1,5,49.36,783,3,20,114.02,262
Pipnat,1,1,4,26,1,1.5,8.48,19,1,1,3,291,1,2,5,211,1,1.5,3.8,31,1,2,5,26,1,2,10.52,175,1,3,19.78,112
Pippip,1,4,12,5675,5,24,67,1033,1,6,18,4155,10,41,106.46,628,2,11,49,1568,6,51,135.88,404,2,14,55.5999999999999,1671,13.5,80,196.56,323
Pippyg,1,2,6.52000000000001,88,1,2.75,21.9,58,1,1,5.77999999999998,30,1,1,9.6,25,1,3,34.8000000000001,81,1,3,51.22,50,1,5,55.32,47,1,4.5,110.72,27
Plaalb,1,2,9,261,1,2,13,165,1,2,5,488,1,4,16,210,1,4.25,15.68,84,1,6.5,26.94,54,1,7.5,44,103,2,15.75,49.72,58
Plaint,1,2.25,22.22,340,1,2,91.0000000000003,161,1,3,11,1270,2,8,47,366,1,4,24.1999999999999,117,1,5,28.7,66,1,6,47.74,364,2,14,109.4,148
Plasab,1,1,3.7,16,1,2,4.76,13,1,1,2.52,75,1,2,4,53,1,1.5,3.76,7,1,1.5,3.76,7,1,4,34.78,20,1,6.25,35.54,18
Pleaus,1,1,2,59,1,1,2,57,1,2,3,280,1,2,5,209,1,2,4.02,50,1,3,5,46,1,2,5,155,1,3,8,109
Roeroe,1,1,1.42,30,1,1,1.42,30,1,1,2,26,1,1.25,2,24,2,2,3.8,6,2,2,3.8,6,1,2,5.28,13,1,2,5.34,12
Rusnit,2,7,24.4200000000001,2430,4,46,128.36,448,3,14,47,2871,6,91,282.38,488,2,21,66.6,221,3.25,59,155.04,82,2,47,73,242,1,105.5,312.2,91
Sepsep,1,1,1,7,1,2.25,2.94,4,1,1,3,37,1,2,4,29,1,1,1,1,1,1,1,1,1,3.75,7.66,18,1.5,4,7.74,14
Testes,1,2,10.66,118,1,2.5,22.6,71,1,6,22,1692,3,29.5,113,371,1,11.5,71,51,1,5.75,286.32,30,1,8,62.04,275,1,24,141.08,113
Tetvir,1,2,13,1252,1,6,55.6,423,2,12,37.2600000000002,5988,5,73,285,949,1,6,70,440,1,9,178.6,177,2,36.5,73,1703,8,165.5,391,339
Yerray,1,2,3,33,1,2,10.32,22,1,2,6.08,24,1,10,16.44,8,1,1,1,5,1,1.25,1.94,4,1,2,8.40000000000001,11,1,3.25,13.9,6
